word_id	word	postag	lemma	gold_head	gold_label	pred_head	pred_label
1	atisuraBiH	nom. sg. m.	atisuraBiH	2	viseranam	13	karwa
2	santAnakaH	nom. sg. m.	santAnakaH	5	karma	4	viseranam
3	puzpaSriyAm	g. pl. f.	puzpaSriyAm	4	rartisambanxah	4	rartisambanxah
4	atanutaratayA	i. sg. f.	atanutaratayA	5	karwa	5	karanam
5	aBAji	<_UNK>	aBAji	0	root	6	prawiyogi
6	iva	ind.	iva	5	sambanxah	7	anuyogi
7	ca	ind.	ca	13	sambanxah	13	sambanxah
8	vasantAnakaH	nom. sg. m.	vasantAnakaH	9	viseranam	13	karwa
9	taruRaparaBftaH	nom. sg. m.	taruRaparaBftaH	13	karwa	10	viseranam
10	rAgiRAM	g. pl. m.	rAgiRAM	11	rartisambanxah	11	rartisambanxah
11	rataye	dat. sg. f.	rataye	13	prayojanam	13	purvakalah
12	svanam	acc. sg. m.	svanam	13	karma	13	karma
13	atanuta	impft. [8] md. sg. 3	atanuta	0	root	0	root

1	<_UNK>	nom. sg. m.	<_UNK>	3	viseranam	3	viseranam
2	saH	nom. sg. m.	saH	3	viseranam	3	viseranam
3	<_UNK>	nom. pl. m.	<_UNK>	9	karwa	9	karwa
4	<_UNK>	acc. sg. m.	<_UNK>	6	viseranam	6	viseranam
5	tvAM	acc. sg. *.	tvAM	6	viseranam	6	viseranam
6	<_UNK>	acc. sg. m.	<_UNK>	7	karma	7	karma
7	<_UNK>	abs.	<_UNK>	9	purvakalah	9	purvakalah
8	<_UNK>	acc. sg. f.	<_UNK>	9	karma	9	karma
9	<_UNK>	<_UNK>	<_UNK>	0	root	0	root

1	tataH	ind.	tataH	3	hewuh	3	hewuh
2	tAsAm	g. pl. f.	tAsAm	3	rartisambanxah	3	rartisambanxah
3	<_UNK>	loc. sg. m.	<_UNK>	10	axikaranam	10	axikaranam
4	<_UNK>	ind.	<_UNK>	6	kriyaviseranam	6	kriyaviseranam
5	<_UNK>	acc. sg. m.	<_UNK>	6	karma	6	karma
6	<_UNK>	<_UNK>	<_UNK>	10	bavalakranasapwami_samanakalah	10	bavalakranasapwami_samanakalah
7	girO	loc. sg. m.	girO	10	axikaranam	10	axikaranam
8	ca	ind.	ca	10	sambanxah	10	sambanxah
9	rantum	inf.	rantum	10	prayojanam	10	prayojanam
10	iyeza	pft. ac. sg. 1	iyeza	0	root	0	root

1	CAtraH	nom. sg. m.	CAtraH	5	karwa	5	karwa
2	yadi	conj.	yadi	0	root	6	sambanxah
3	yatnena	i. sg. m.	yatnena	5	hewuh	5	kriyaviseranam
4	na	part.	na	5	sambanxah	5	sambanxah
5	paWet	opt. [1] ac. sg. 3	paWet	2	prawiyogi	2	prawiyogi
6	tarhi	adv.	tarhi	9	kriyaviseranam	9	anuyogi
7	parIkzAm	acc. sg. f.	parIkzAm	9	karma	9	karma
8	kaTam	adv.	kaTam	9	kriyaviseranam	9	kriyaviseranam
9	uttaret	opt. [1] ac. sg. 3	uttaret	2	prawiyogi	0	root

1	aDunA	loc. sg. n.	aDunA	10	axikaranam	10	axikaranam
2	tu	conj.	tu	1	sambanxah	1	sambanxah
3	tat	nom. sg. n.	tat	4	viseranam	4	viseranam
4	Palam	nom. sg. n.	Palam	10	karwa	8	karma
5	tasya	g. sg. n.	tasya	6	rartisambanxah	6	rartisambanxah
6	hastataH	loc. sg. n	hastataH	8	apaxanam	8	apaxanam
7	BUmO	loc. sg. f.	BUmO	8	axikaranam	8	axikaranam
8	nipatya	abs.	nipatya	10	purvakalah	10	purvakalah
9	Bagnam	nom. sg. n.	Bagnam	10	karwqsamanaxikaranam	10	karwqsamanaxikaranam
10	aBavat	impft. [1] ac. sg. 3	aBavat	0	root	0	root

1	sarinmahAiBO	nom. du. m.	sarinmahAiBO	12	karwa	2	viseranam
2	payasi	loc. sg. n.	payasi	12	axikaranam	12	axikaranam
3	saMsarpiBiH	i. pl. m.	saMsarpiBiH	4	viseranam	12	karwa
4	gErikareRurAgEH	i. pl. m.	gErikareRurAgEH	7	samucciwam	7	samucciwam
5	aNganizaNgiRA	i. sg. n.	aNganizaNgiRA	6	viseranam	7	samucciwam
6	amBojagarBarajasA	i. sg. n.	amBojagarBarajasA	7	samucciwam	7	samucciwam
7	ca	ind.	ca	12	karanam	12	karwa
8	krIqaupaBogam	acc. sg. m.	krIqaupaBogam	9	karma	9	karma
9	anuBUya	abs.	anuBUya	12	purvakalah	12	purvakalah
10	anyaanyavastraparivartam	acc. sg. m.	anyaanyavastraparivartam	11	prawiyogi	11	prawiyogi
11	iva	ind.	iva	8	anuyogi	12	anuyogi
12	vyaDattAm	<_UNK>	vyaDattAm	0	root	0	root

1	aNge	loc. sg. n.	aNge	5	axikaranam	5	axikaranam
2	<_UNK>	acc. sg. m.	<_UNK>	3	viseranam	3	viseranam
3	<_UNK>	acc. sg. m.	<_UNK>	5	karma	5	karma
4	<_UNK>	ind.	<_UNK>	5	kriyaviseranam	5	kriyaviseranam
5	<_UNK>	<_UNK>	<_UNK>	11	bavalakranasapwami_samanakalah	11	bavalakranasapwami_samanakalah
6	<_UNK>	nom. sg. f.	<_UNK>	7	viseranam	7	viseranam
7	<_UNK>	nom. sg. f.	<_UNK>	11	karwqsamanaxikaranam	11	karwqsamanaxikaranam
8	<_UNK>	g. pl. f.	<_UNK>	9	rartisambanxah	9	rartisambanxah
9	kzaRam	ind.	kzaRam	11	kriyaviseranam	11	viseranam
10	<_UNK>	nom. sg. m.	<_UNK>	11	karwa	11	karwa
11	aBUt	<_UNK>	aBUt	0	root	0	root

1	<_UNK>	i. sg. n.	<_UNK>	6	karanam	6	karanam
2	nitAntaM	pp.	nitAntaM	3	viseranam	3	viseranam
3	<_UNK>	nom. sg. n.	<_UNK>	6	karwa	6	karwa
4	muhuH	ind.	muhuH	6	kriyaviseranam	6	viseranam
5	<_UNK>	acc. sg. m.	<_UNK>	6	karma	6	karma
6	<_UNK>	<_UNK>	<_UNK>	13	bavalakranasapwami_samanakalah	13	bavalakranasapwami_samanakalah
7	<_UNK>	acc. sg. m.	<_UNK>	12	karmasamanaxikaranam	9	viseranam
8	<_UNK>	acc. sg. m.	<_UNK>	9	viseranam	9	viseranam
9	<_UNK>	acc. sg. m.	<_UNK>	12	karma	12	karma
10	<_UNK>	loc. sg. n.	<_UNK>	12	axikaranam	12	axikaranam
11	<_UNK>	ind.	<_UNK>	12	kriyaviseranam	12	viseranam
12	<_UNK>	abs.	<_UNK>	13	purvakalah	13	purvakalah
13	jagAma	pft. ac. sg. 3	jagAma	0	root	0	root

1	tataH	abl. pl. n.	tataH	2	apaxanam	9	apaxanam
2	pUrvam	loc. sg. m.	pUrvam	6	axikaranam	9	axikaranam
3	eva	prep.	eva	2	sambanxah	2	sambanxah
4	tannAmni	loc. sg. n.	tannAmni	6	axikaranam	5	viseranam
5	dampatyoH	g. du. m.	dampatyoH	6	rartisambanxah	6	rartisambanxah
6	kalahaH	nom. sg. m.	kalahaH	9	karwa	9	karwa
7	mAm	acc. sg. *	mAm	9	karma	9	karma
8	nitarAm	adv.	nitarAm	9	kriyaviseranam	9	kriyaviseranam
9	upahAsayati	ca. pr. ac. sg. 3	upahAsayati	0	root	0	root
10	sma	pr. [2] ac. pl. 1	sma	9	sambanxah	9	sambanxah
11	iti	part.	iti	10	sambanxah	9	sambanxah

1	yAni	nom. pl. n.	yAni	2	viseranam	4	karwa
2	haritapatrARi	nom. pl. n.	haritapatrARi	4	karwa	4	karwa
3	tatra	loc. pl. n.	tatra	4	axikaranam	4	axikaranam
4	Asan	impft. [2] ac. pl. 3	Asan	12	samucciwam	12	samucciwam
5	tAni	nom. pl. n.	tAni	11	karwa	6	viseranam
6	SuzkapatrARAm	g. pl. n.	SuzkapatrARAm	7	rartisambanxah	7	rartisambanxah
7	avasTAnam	acc. sg. n.	avasTAnam	11	karma	8	viseranam
8	svasamIpe	loc. sg. m.	svasamIpe	11	axikaranam	11	axikaranam
9	na	part.	na	11	sambanxah	11	sambanxah
10	eva	prep.	eva	9	sambanxah	9	sambanxah
11	avAYCan	impft. [1] ac. pl. 3	avAYCan	12	samucciwam	12	samucciwam
12	ca	conj.	ca	0	root	0	root

1	parEH	inst. pl. m.	parEH	10	karanam	10	karwa
2	kftApacAraH	nom. sg. m.	kftApacAraH	5	viseranam	5	viseranam
3	api	conj.	api	2	sambanxah	2	sambanxah
4	anAvizkftavikriyaH	nom. sg. m.	anAvizkftavikriyaH	5	viseranam	5	viseranam
5	asADyaH	nom. sg. m.	asADyaH	6	karwa	6	karwa
6	san	nom. sg. m.	san	13	bavalakranasapwami_samanakalah	7	viseranam
7	gadaH	nom. sg. m.	gadaH	10	karma	13	karwa
8	yaTA	conj.	yaTA	10	sambanxah	10	sambanxah
9	kAle	loc. sg. m.	kAle	10	axikaranam	10	axikaranam
10	prApte	loc. sg. m.	prApte	13	purvakalah	13	purvakalah
11	sati	loc. sg. m.	sati	10	viseranam	13	purvakalah
12	kopaM	acc. sg. m.	kopaM	13	karma	13	karma
13	kurute	pr. md. sg. 3	kurute	0	root	0	root

1	aDunA	loc. sg. n.	aDunA	7	axikaranam	10	axikaranam
2	tu	conj.	tu	1	sambanxah	1	sambanxah
3	BavAn	nom. sg. m.	BavAn	10	karwa	10	karwa
4	imam	acc. sg. m.	imam	7	karma	5	viseranam
5	kvacit	loc. sg. m.	kvacit	6	viseranam	10	axikaranam
6	gaNgAtawe	loc. sg. m.	gaNgAtawe	10	axikaranam	7	axikaranam
7	nItvA	abs.	nItvA	10	purvakalah	10	purvakalah
8	BagavadASraye	loc. sg. m.	BagavadASraye	10	axikaranam	10	axikaranam
9	eva	prep.	eva	8	sambanxah	8	sambanxah
10	parityajatu	imp. [1] ac. sg. 3	parityajatu	0	root	0	root

1	yatra	conj.	yatra	4	viseranam	12	axikaranam
2	aDigfhaM	conj.	aDigfhaM	4	viseranam	4	axikaranam
3	gfhiRyaH	nom. pl. f.	gfhiRyaH	12	karwa	4	karma
4	ratO	loc. sg. f.	ratO	7	axikaranam	7	axikaranam
5	hriyA	inst. sg. f.	hriyA	7	hewuh	7	axikaranam
6	dIpAn	acc. pl. m.	dIpAn	7	karma	7	karma
7	niSamya	abs.	niSamya	12	purvakalah	12	purvakalah
8	jAlAgatAByaH	abl. pl. f.	jAlAgatAByaH	11	viseranam	10	viseranam
9	vEdUryakuqyezu	loc. pl. n.	vEdUryakuqyezu	12	axikaranam	12	axikaranam
10	biqAlekzaRaBIzaRAByaH	abl. pl. f.	biqAlekzaRaBIzaRAByaH	11	viseranam	12	apaxanam
11	SaSidyutiByaH	abl. pl. f.	SaSidyutiByaH	12	apaxanam	12	karwa
12	biByuH	pft. ac. pl. 3	biByuH	0	root	0	root

1	BUzaRatAm	acc. sg. f.	BUzaRatAm	2	karma	3	viseranam
2	upeyuzAM	g. pl. m.	upeyuzAM	3	rartisambanxah	3	rartisambanxah
3	dEtyapateH	g. sg. m.	dEtyapateH	4	rartisambanxah	6	rartisambanxah
4	prARacCidAM	g. pl. m.	prARacCidAM	5	viseranam	5	viseranam
5	naKAnAM	g. pl. m.	naKAnAM	6	rartisambanxah	6	rartisambanxah
6	kzatena	i. sg. m.	kzatena	9	karanam	12	bavalakranasapwami_samanakalah
7	prakASakArkaSyaguRO	acc. du. m.	prakASakArkaSyaguRO	8	viseranam	8	viseranam
8	stanO	acc. du. m.	stanO	9	karma	9	karma
9	daDAnAH	<_UNK>	daDAnAH	12	bavalakranasapwami_samanakalah	12	purvakalah
10	taruRyaH	nom. pl. f.	taruRyaH	12	karwa	12	karwa
11	enaM	acc. sg. m.	enaM	12	karma	12	viseranam
12	parivavruH	pft. ac. pl. 3	parivavruH	0	root	0	root

1	<_UNK>	i. sg. m.	<_UNK>	5	viseranam	5	viseranam
2	<_UNK>	i. sg. m.	<_UNK>	5	viseranam	5	viseranam
3	<_UNK>	i. sg. m.	<_UNK>	5	viseranam	5	viseranam
4	bAhvoH	g. du. m.	bAhvoH	5	rartisambanxah	5	rartisambanxah
5	<_UNK>	i. sg. m.	<_UNK>	11	hewuh	11	hewuh
6	<_UNK>	i. pl. m.	<_UNK>	9	viseranam	9	viseranam
7	vA	ind.	vA	6	sambanxah	6	sambanxah
8	<_UNK>	i. pl. m.	<_UNK>	9	viseranam	9	viseranam
9	<_UNK>	i. pl. m.	<_UNK>	11	karanam	11	karanam
10	nitambinIBiH	i. pl. f.	nitambinIBiH	11	karwa	11	karwa
11	atami	<_UNK>	atami	0	root	0	root

1	<_UNK>	g. pl. f.	<_UNK>	2	viseranam	2	viseranam
2	kAminInAM	g. pl. f.	kAminInAM	3	rartisambanxah	3	rartisambanxah
3	<_UNK>	nom. sg. n.	<_UNK>	13	karwa	13	karwa
4	<_UNK>	nom. sg. n.	<_UNK>	3	viseranam	3	viseranam
5	api	ind.	api	4	sambanxah	4	sambanxah
6	<_UNK>	nom. sg. n.	<_UNK>	3	viseranam	3	viseranam
7	<_UNK>	i. pl. m.	<_UNK>	9	karwa	9	karwa
8	<_UNK>	ind.	<_UNK>	9	kriyaviseranam	9	viseranam
9	<_UNK>	pp.	<_UNK>	3	viseranam	3	viseranam
10	api	ind.	api	9	sambanxah	9	sambanxah
11	<_UNK>	nom. sg. n.	<_UNK>	3	viseranam	3	viseranam
12	eva	ind.	eva	11	sambanxah	11	sambanxah
13	cakASe	pft. md. sg. 3	cakASe	0	root	0	root

1	<_UNK>	i. pl. m.	<_UNK>	3	viseranam	3	viseranam
2	tava	g. sg. *.	tava	3	rartisambanxah	3	rartisambanxah
3	<_UNK>	i. pl. m.	<_UNK>	9	karwa	9	karwa
4	<_UNK>	nom. pl. n.	<_UNK>	9	karma	9	karma
5	<_UNK>	nom. pl. n.	<_UNK>	4	viseranam	7	viseranam
6	<_UNK>	acc. sg. f.	<_UNK>	7	viseranam	7	viseranam
7	purIm	acc. sg. f.	purIm	8	karma	8	karma
8	<_UNK>	nom. pl. n.	<_UNK>	9	karmasamanaxikaranam	9	karmasamanaxikaranam
9	<_UNK>	<_UNK>	<_UNK>	0	root	0	root

1	ekaH	nom. sg. m.	ekaH	9	karwa	2	viseranam
2	ArakzamagnaM	acc. sg. m.	ArakzamagnaM	4	viseranam	4	viseranam
3	<_UNK>	acc. sg. m.	<_UNK>	4	viseranam	4	viseranam
4	sfRim	acc. sg. m.	sfRim	5	karma	5	karma
5	avamatya	abs.	avamatya	9	purvakalah	9	purvakalah
6	kftArtanAdaH	nom. sg. m.	kftArtanAdaH	7	karwa	9	karwa
7	san	<_UNK>	san	9	bavalakranasapwami_samanakalah	9	bavalakranasapwami_samanakalah
8	javena	i. sg. m.	javena	9	hewuh	9	viseranam
9	palAyata	impft. [1] md. sg. 3	palAyata	0	root	0	root

1	yaH	nom. sg. m.	yaH	5	sambanxah	9	karwa
2	pfTivIBftAM	g. pl. m.	pfTivIBftAM	3	rartisambanxah	3	rartisambanxah
3	varaM	acc. sg. m.	varaM	4	karma	4	karma
4	samutkzipan	nom. sg. m.	samutkzipan	5	viseranam	5	viseranam
5	SUlinaH	g. sg. m.	SUlinaH	7	viseranam	9	karwa
6	varapradAnasya	g. sg. n.	varapradAnasya	8	rartisambanxah	9	rartisambanxah
7	trasattuzArAdrisutAsasamBramasvayaMgrahaASlezasuKena	inst. sg. m.	trasattuzArAdrisutAsasamBramasvayaMgrahaASlezasuKena	9	karanam	8	karanam
8	nizkrayaM	acc. sg. m.	nizkrayaM	9	karma	9	karma
9	cakAra	pft. ac. sg. 3	cakAra	0	root	0	root

1	<_UNK>	i. sg. f.	<_UNK>	3	viseranam	3	viseranam
2	<_UNK>	i. sg. f.	<_UNK>	3	viseranam	3	viseranam
3	<_UNK>	i. sg. f.	<_UNK>	6	karwa	6	karwa
4	<_UNK>	nom. sg. n.	<_UNK>	6	karma	6	karma
5	kimapi	ind.	kimapi	4	sambanxah	4	sambanxah
6	<_UNK>	pp.	<_UNK>	7	viseranam	7	viseranam
7	aNganAH	nom. pl. f.	aNganAH	11	karwa	11	karwa
8	<_UNK>	dat. sg. m.	<_UNK>	11	sampraxanam	11	sampraxanam
9	<_UNK>	acc. sg. n.	<_UNK>	10	viseranam	10	viseranam
10	vapuH	acc. sg. n.	vapuH	11	karma	11	karma
11	<_UNK>	<_UNK>	<_UNK>	0	root	0	root

1	<_UNK>	abl. sg. n.	<_UNK>	2	hewuh	3	apaxanam
2	UrDvam	ind.	UrDvam	3	kriyaviseranam	3	axikaranam
3	AkarzatA	<_UNK>	AkarzatA	4	prawiyogi	4	prawiyogi
4	iva	ind.	iva	6	anuyogi	5	anuyogi
5	atigurutvaBAjA	i. sg. n.	atigurutvaBAjA	6	viseranam	6	viseranam
6	kucamaRqalena	i. sg. n.	kucamaRqalena	8	karwa	8	karanam
7	nitAntam	ind.	nitAntam	8	kriyaviseranam	8	kriyaviseranam
8	AkrAntaH	pp.	AkrAntaH	9	prawiyogi	9	prawiyogi
9	iva	ind.	iva	12	anuyogi	10	anuyogi
10	atikraSIyAn	nom. sg. m.	atikraSIyAn	12	viseranam	13	karwa
11	aNganAnAM	g. pl. f.	aNganAnAM	12	rartisambanxah	12	rartisambanxah
12	maDyaH	nom. sg. m.	maDyaH	14	karwa	13	karma
13	nanAma	pft. ac. sg. 3	nanAma	0	root	0	root

1	tanuH	nom. sg. f.	tanuH	11	karwa	2	viseranam
2	aBimatam	acc. sg. m.	aBimatam	3	upapaxasambanxah	6	karma
3	aBitaH	conj.	aBitaH	6	sambanxah	4	kriyaviseranam
4	unnativittaM	acc. sg. n.	unnativittaM	5	viseranam	5	viseranam
5	kucayugam	acc. sg. n.	kucayugam	6	karma	6	karma
6	unnamayya	conj.	unnamayya	11	purvakalah	11	purvakalah
7	kftANgaBaNgA	nom. sg. f.	kftANgaBaNgA	1	viseranam	8	viseranam
8	vellitabAhuvallarIkA	nom. sg. f.	vellitabAhuvallarIkA	1	viseranam	9	viseranam
9	klamacCalena	inst. sg. n.	klamacCalena	10	hewuh	11	karanam
10	aBilazitaM	pp. . sg.	aBilazitaM	11	viseranam	11	karma
11	vyavfRuta	impft . ps. sg. 3	vyavfRuta	0	root	0	root

1	paraM	conj.	paraM	9	kriyaviseranam	9	axikaranam
2	siMhaH	nom. sg. m.	siMhaH	9	karwa	9	karwa
3	ekam	acc. sg. m.	ekam	5	viseranam	5	viseranam
4	api	conj.	api	3	sambanxah	3	sambanxah
5	vfzaBam	acc. sg. m.	vfzaBam	6	karma	6	karma
6	mArayitum	conj.	mArayitum	9	prayojanam	9	prayojanam
7	samarTaH	nom. sg. m.	samarTaH	9	karwqsamanaxikaranam	9	karwqsamanaxikaranam
8	na	conj.	na	9	sambanxah	9	sambanxah
9	AsIt	impft . ac. sg. 3	AsIt	0	root	0	root

1	ekA	nom. sg. f.	ekA	2	viseranam	2	viseranam
2	CAgI	nom. sg. f.	CAgI	6	karwa	6	karwa
3	yadA	loc. sg. n.	yadA	6	axikaranam	6	axikaranam
4	tam	acc. sg. m.	tam	6	karma	5	viseranam
5	SabdApayantam	acc. sg. m.	SabdApayantam	6	karmasamanaxikaranam	6	karma
6	aSfRot	impft. [5] ac. sg. 3	aSfRot	12	samucciwam	12	samucciwam
7	tadA	loc. sg. n.	tadA	11	axikaranam	11	axikaranam
8	tasyAH	g. sg. f.	tasyAH	9	rartisambanxah	9	rartisambanxah
9	manasi	loc. sg. n.	manasi	11	axikaranam	11	axikaranam
10	dayA	nom. pl. f.	dayA	11	karwa	11	karwa
11	utpannA	pp.	utpannA	12	samucciwam	12	samucciwam
12	ca	conj.	ca	0	root	0	root

1	udDatiM	acc. sg. f.	udDatiM	4	karma	4	karma
2	na	conj.	na	4	sambanxah	4	sambanxah
3	eva	conj.	eva	2	sambanxah	2	sambanxah
4	AjagAma	pft. ac. sg. 1	AjagAma	9	samucciwam	9	samucciwam
5	yat	conj.	yat	8	sambanxah	6	anuyogi
6	garimRaH	g. sg. m.	garimRaH	7	upapaxasambanxah	8	karwa
7	sadfSam	conj.	sadfSam	8	sambanxah	8	viseranam
8	acezwata	impft . md. sg. 3	acezwata	9	samucciwam	9	samucciwam
9	ca	conj.	ca	0	root	0	root

1	aDastAt	ind.	aDastAt	6	apaxanam	6	axikaranam
2	nirjitakalApaBarAM	acc. sg. f.	nirjitakalApaBarAM	5	viseranam	5	viseranam
3	vyAkIrRamAlyakabarAM	acc. sg. f.	vyAkIrRamAlyakabarAM	5	viseranam	5	viseranam
4	taruRyAH	g. sg. f.	taruRyAH	5	rartisambanxah	5	rartisambanxah
5	kabarIM	acc. sg. f.	kabarIM	6	karma	6	karma
6	dfzwvA	abs.	dfzwvA	11	purvakalah	11	purvakalah
7	eva	ind.	eva	6	sambanxah	6	sambanxah
8	sapadi	ind.	sapadi	11	kriyaviseranam	11	viseranam
9	candrakavAn	nom. sg. m.	candrakavAn	11	karwa	11	karwa
10	drumaagrAt	abl. sg. n.	drumaagrAt	11	apaxanam	11	apaxanam
11	prAdudruvat	<_UNK>	prAdudruvat	0	root	12	prawiyogi
12	taTA	ind.	taTA	11	sambanxah	18	sambanxah
13	hi	ind.	hi	18	sambanxah	18	sambanxah
